# Num_Extinctions Robustness_Ratio Surv_Plants Surv_Insects Pollination_Service Gini_Plants Gini_Insects
0 1.000000 19 58 105826.486284 0.911153 0.943577
1 0.974026 18 57 105633.639694 0.907724 0.943374
2 0.948052 17 56 105440.793125 0.904073 0.943170
3 0.922078 16 55 105222.398145 0.900148 0.942938
4 0.896104 15 54 104737.707207 0.895763 0.942430
5 0.870130 14 53 104253.016269 0.891056 0.941915
6 0.844156 13 52 103703.604963 0.885969 0.941326
7 0.831169 12 52 100005.293642 0.880539 0.938676
8 0.818182 11 52 96042.291981 0.874537 0.935630
9 0.792208 10 51 95557.601038 0.868149 0.935001
10 0.779221 9 51 92018.254784 0.861146 0.936869
11 0.766234 8 51 86011.088437 0.851285 0.939321
12 0.714286 7 48 84799.060780 0.838447 0.937644
13 0.688312 6 47 78169.681179 0.823187 0.938120
14 0.675325 5 47 64958.751730 0.796221 0.944637
15 0.610390 4 43 52745.268753 0.747561 0.939912
16 0.467532 3 33 44109.158933 0.665575 0.922808
17 0.337662 2 24 25219.482233 0.499127 0.904102
18 0.220779 1 16 8556.407534 0.000000 0.936439
19 0.000000 0 0 0.000000 1.000000 1.000000
