# Num_Extinctions Robustness_Ratio Surv_Plants Surv_Insects Pollination_Service Gini_Plants Gini_Insects
0 1.000000 43 125 216285.468737 0.975447 0.990575
1 0.994048 42 125 215669.503607 0.974837 0.990563
2 0.988095 41 125 196379.007792 0.974195 0.989827
3 0.922619 40 115 195469.371965 0.973933 0.989798
4 0.916667 39 115 194408.012460 0.973243 0.989716
5 0.904762 38 114 191902.017207 0.972513 0.989531
6 0.886905 37 112 191759.660625 0.971742 0.989531
7 0.880952 36 112 191639.750418 0.970929 0.989539
8 0.875000 35 112 190578.390976 0.970070 0.989453
9 0.863095 34 111 185762.778099 0.969155 0.989142
10 0.839286 33 108 180902.394618 0.968889 0.988933
11 0.821429 32 106 180183.232996 0.967893 0.988916
12 0.815476 31 106 178038.367884 0.966832 0.988806
13 0.803571 30 105 174927.121761 0.965697 0.988994
14 0.797619 29 105 173681.073609 0.964485 0.988887
15 0.785714 28 104 172619.714110 0.963186 0.988922
16 0.779762 27 104 170493.919185 0.961784 0.988797
17 0.767857 26 103 166926.564734 0.961535 0.988561
18 0.750000 25 101 165236.594116 0.959997 0.988431
19 0.738095 24 100 160269.895319 0.958330 0.988254
20 0.720238 23 98 159208.535142 0.956519 0.988142
21 0.708333 22 97 155442.633255 0.954542 0.988053
22 0.696429 21 96 152308.111684 0.952377 0.987776
23 0.678571 20 94 151246.751846 0.949997 0.987653
24 0.666667 19 93 148609.121055 0.947365 0.987374
25 0.648810 18 91 146919.150792 0.944441 0.987214
26 0.636905 17 90 142715.262284 0.941172 0.987099
27 0.630952 16 90 142695.701456 0.937496 0.987102
28 0.613095 15 88 118679.074534 0.933328 0.985179
29 0.529762 14 75 118248.737519 0.928566 0.985162
30 0.523810 13 75 114043.302803 0.923071 0.984510
31 0.500000 12 72 109409.469618 0.916660 0.983795
32 0.476190 11 69 98734.903268 0.909083 0.982342
33 0.434524 10 63 97673.542028 0.899995 0.982075
34 0.422619 9 62 77455.276170 0.888883 0.979207
35 0.351190 8 51 74508.154885 0.874992 0.978329
36 0.333333 7 49 72852.644383 0.857133 0.977864
37 0.321429 6 48 72377.395210 0.833326 0.977812
38 0.315476 5 48 59619.521981 0.799989 0.972652
39 0.255952 4 39 58373.471913 0.750000 0.971927
40 0.244048 3 38 44069.815113 0.666667 0.964392
41 0.190476 2 30 27876.138761 0.500000 0.945506
42 0.125000 1 20 19363.409066 0.000000 0.921304
43 0.083333 0 14 0.003814 1.000000 0.927549
